slot,start,end,source_rows,source_times,price_yuan_per_kwh,load_kw,pv_kw,load_kwh,pv_kwh,grid_kwh,charge_kwh,discharge_kwh,curtailed_pv_kwh,soc_start_kwh,soc_end_kwh,soc_increment_kwh,action,cost_yuan
68,11:10,11:20,69,11:20,0.5007,5823.4378,7459.227,970.5729666666666,1243.2044999999998,0.0,272.6315333333332,0.0,0.0,3720.814060740741,3966.1824407407407,245.3683799999999,charge,0.0
69,11:20,11:30,70,11:30,0.4827,5814.7932,7520.7191,969.1322,1253.4531833333333,0.0,284.3209833333332,0.0,0.0,3966.1824407407407,4222.071325740741,255.88888499999985,charge,0.0
70,11:30,11:40,71,11:40,0.4785,5832.3951,7568.2039,972.06585,1261.3673166666667,179.2771713991733,468.5786380658404,0.0,0.0,4222.071325740741,4643.792099999997,421.72077425925636,charge,85.78412651450442
71,11:40,11:50,72,11:50,0.4662,5712.901,7592.1539,952.1501666666666,1265.3589833333333,520.1245166666668,833.3333333333333,0.0,0.0,4643.792099999997,5393.792099999997,750.0,charge,242.48204967000004
72,11:50,12:00,73,12:00,0.4432,5519.4607,7601.0433,919.9101166666666,1266.84055,486.40290000000005,833.3333333333333,0.0,0.0,5393.792099999997,6143.792099999997,750.0,charge,215.57376528
73,12:00,12:10,74,12:10,0.4411,5494.7907,7612.316,915.7984499999999,1268.7193333333332,480.4124499999998,833.3333333333333,0.0,0.0,6143.792099999997,6893.792099999997,750.0,charge,211.9099316949999
74,12:10,12:20,75,12:20,0.4551,5514.4524,7602.6524,919.0754,1267.1087333333332,485.3000000000011,833.3333333333333,0.0,0.0,6893.792099999997,7643.792099999997,750.0,charge,220.8600300000005
75,12:20,12:30,76,12:30,0.4463,5485.829,7554.1872,914.3048333333332,1259.0312,488.6069666666681,833.3333333333333,0.0,0.0,7643.792099999997,8393.792099999997,750.0,charge,218.06528922333396
76,12:30,12:40,77,12:40,0.4113,5462.3628,7472.7384,910.3937999999999,1245.4564,498.2707333333328,833.3333333333333,0.0,0.0,8393.792099999997,9143.792099999997,750.0,charge,204.9387526199998
77,12:40,12:50,78,12:50,0.5682,5566.1066,7393.4172,927.6844333333333,1232.2361999999998,0.0,304.5517666666678,0.0,0.0,9143.792099999997,9417.888689999998,274.096590000001,charge,0.0
78,12:50,13:00,79,13:00,0.8279,5725.7548,7312.7979,954.2924666666665,1218.79965,0.0,264.507183333335,0.0,0.0,9417.888689999998,9655.945155,238.05646500000148,charge,0.0
79,13:00,13:10,80,13:10,0.8636,5739.4957,7194.541,956.5826166666667,1199.0901666666666,0.0,242.50754999999924,0.0,0.0,9655.945155,9874.201949999999,218.25679499999933,charge,0.0
80,13:10,13:20,81,13:20,0.8416,5714.6836,7053.1371,952.4472666666667,1175.5228499999998,0.0,223.07558333333264,0.0,0.0,9874.201949999999,10074.969974999998,200.7680249999994,charge,0.0
81,13:20,13:30,82,13:30,0.8618,5717.8505,6910.4064,952.9750833333333,1151.7343999999998,0.0,198.75931666666776,0.0,0.0,10074.969974999998,10253.85336,178.883385000001,charge,0.0
82,13:30,13:40,83,13:40,0.8623,5708.2486,6772.4075,951.3747666666666,1128.7345833333334,0.0,177.35981666666703,0.0,0.0,10253.85336,10413.477195,159.62383500000033,charge,0.0
83,13:40,13:50,84,13:50,0.9026,5696.9182,6607.36,949.4863666666666,1101.2266666666665,0.0,151.74029999999928,0.0,0.0,10413.477195,10550.043464999999,136.56626999999935,charge,0.0
84,13:50,14:00,85,14:00,0.9754,5692.2983,6412.5085,948.7163833333334,1068.7514166666665,0.0,120.03503333333356,0.0,0.0,10550.043464999999,10658.074994999999,108.0315300000002,charge,0.0
85,14:00,14:10,86,14:10,1.0002,5687.1291,6214.0158,947.8548499999999,1035.6693,0.0,87.81444999999924,0.0,0.0,10658.074994999999,10737.107999999998,79.03300499999932,charge,0.0
86,14:10,14:20,87,14:20,0.9978,5678.962,6000.7112,946.4936666666667,1000.1185333333333,0.0,53.6248666666668,0.0,0.0,10737.107999999998,10785.370379999998,48.26238000000012,charge,0.0
87,14:20,14:30,88,14:30,1.0271,5669.4508,5766.9816,944.9084666666665,961.1636,0.0,16.255133333335024,0.0,0.0,10785.370379999998,10800.0,14.629620000001523,charge,0.0
88,14:30,14:40,89,14:40,1.0906,5664.1948,5521.5066,944.0324666666667,920.2511,0.0,0.0,23.781366666665964,0.0,10800.0,10773.57625925926,-26.42374074073996,discharge,0.0
89,14:40,14:50,90,14:50,0.9376,5672.7011,5268.781,945.4501833333334,878.1301666666666,0.0,0.0,67.32001666666729,0.0,10773.57625925926,10698.77624074074,-74.80001851851921,discharge,0.0
90,14:50,15:00,91,15:00,0.6694,5682.2544,5009.7152,947.0423999999999,834.9525333333332,112.08986666666817,0.0,0.0,0.0,10698.77624074074,10698.776240740744,3.637978807091713e-12,idle,75.03295674666768
91,15:00,15:10,92,15:10,0.66,5669.0195,4743.4484,944.8365833333334,790.5747333333334,266.7326936213958,112.47084362139503,0.0,0.0,10698.776240740744,10800.0,101.22375925925553,charge,176.04357779012125
92,15:10,15:20,93,15:20,0.7217,5656.3651,4471.224,942.7275166666666,745.204,197.52351666666664,0.0,0.0,0.0,10800.0,10800.0,0.0,idle,142.55272197833332
93,15:20,15:30,94,15:30,0.7308,5657.0867,4188.2025,942.8477833333333,698.03375,244.8140333333332,0.0,0.0,0.0,10800.0,10800.0,0.0,idle,178.91009555999992
94,15:30,15:40,95,15:40,0.7534,5662.6008,3889.3931,943.7668,648.2321833333333,295.5346166666667,0.0,0.0,0.0,10800.0,10800.0,0.0,idle,222.65578019666668
95,15:40,15:50,96,15:50,0.7823,5669.2596,3594.5946,944.8766,599.0990999999999,345.77750000000015,0.0,0.0,0.0,10800.0,10800.0,0.0,idle,270.50173825000013
96,15:50,16:00,97,16:00,0.8055,5673.4767,3303.8878,945.57945,550.6479666666667,394.9314833333333,0.0,0.0,0.0,10800.0,10800.0,0.0,idle,318.11730982499995
97,16:00,16:10,98,16:10,0.8271,5671.0146,2998.4247,945.1691000000001,499.73744999999997,445.4316500000001,0.0,0.0,0.0,10800.0,10800.0,0.0,idle,368.41651771500005
98,16:10,16:20,99,16:20,0.8519,5661.5926,2687.4131,943.5987666666666,447.90218333333337,495.69658333333325,0.0,0.0,0.0,10800.0,10800.0,0.0,idle,422.2839193416666
99,16:20,16:30,100,16:30,0.8791,5665.8922,2383.1779,944.3153666666667,397.1963166666667,547.11905,0.0,0.0,0.0,10800.0,10800.0,0.0,idle,480.972356855
100,16:30,16:40,101,16:40,0.9024,5689.0372,2089.1246,948.1728666666666,348.18743333333333,599.9854333333333,0.0,0.0,0.0,10800.0,10800.0,0.0,idle,541.42685504
101,16:40,16:50,102,16:50,0.9163,5603.6614,1791.0829,933.9435666666666,298.5138166666667,635.4297499999999,0.0,0.0,0.0,10800.0,10800.0,0.0,idle,582.2442799249999
102,16:50,17:00,103,17:00,0.9264,5466.7124,1501.7283,911.1187333333334,250.28805,660.8306833333334,0.0,0.0,0.0,10800.0,10800.0,0.0,idle,612.19354504
103,17:00,17:10,104,17:10,0.9462,5467.3939,1255.1723,911.2323166666666,209.19538333333333,702.0369333333333,0.0,0.0,0.0,10800.0,10800.0,0.0,idle,664.26734632
104,17:10,17:20,105,17:20,0.9742,5464.727,1036.3323,910.7878333333333,172.72205,738.0657833333333,0.0,0.0,0.0,10800.0,10800.0,0.0,idle,719.0236861233333
105,17:20,17:30,106,17:30,0.9862,5492.4458,836.7775,915.4076333333334,139.46291666666667,775.9447166666666,0.0,0.0,0.0,10800.0,10800.0,0.0,idle,765.2366795766666
106,17:30,17:40,107,17:40,0.976,5621.7308,665.2313,936.9551333333334,110.87188333333333,826.08325,0.0,0.0,0.0,10800.0,10800.0,0.0,idle,806.257252
107,17:40,17:50,108,17:50,1.0742,5091.2126,516.6758,848.5354333333332,86.11263333333332,762.4227999999999,0.0,0.0,0.0,10800.0,10800.0,0.0,idle,818.99457176
108,17:50,18:00,109,18:00,1.2313,4208.5688,386.6731,701.4281333333333,64.44551666666666,636.9826166666633,0.0,0.0,0.0,10800.0,10799.999999999996,-3.637978807091713e-12,idle,784.3166959016626
